year,white_sd,black_sd,hispanic_sd,other_sd
1990,3090.054788,5681.382724,6179.913472,2831.78847
1991,2046.84504,5737.187949,2727.4535,1658.41328
1992,1521.6852,4875.452966,1617.603628,943.6434246
1993,1499.106853,2412.844447,2674.845016,1273.48827
1994,1396.820255,3228.228021,1541.786918,1047.173424
1996,1552.583429,1619.350976,899.3525549,654.9211738
1997,710.0444149,1557.137031,1392.830952,927.2992146
1998,742.2964066,1385.098082,1286.578387,523.6476132
1999,694.2601311,1156.163028,1201.473689,825.7481505
2000,620.6890596,855.0881049,1254.430066,1042.604374
2001,491.9275205,650.4795236,1203.789503,633.7558417
2002,624.8058035,1135.350025,631.3979598,508.8965112
2003,707.0620038,809.1356877,703.4515222,422.0857158
2005,542.461593,847.6156017,813.452028,403.5609647
2006,619.3656936,833.414395,679.0654046,430.5418979
2007,486.4347832,862.2559993,530.0422085,548.8239195
2008,310.7533597,936.2387031,816.4316912,295.9164058
2009,310.2592425,422.0557097,497.7965313,176.0886063
2010,362.5969231,601.5593734,698.8434093,231.5985582
2011,287.1709365,395.0435899,530.0214923,228.4635483
2012,230.0131257,291.3949391,424.8761446,311.0424186
2013,385.7602423,810.7870551,916.9353677,313.3660765
