year,white_sd,black_sd,asian_sd,native_sd,other_sd
1990,2024.353363,4484.561037,2617.015312,1800.278205,2945.77151
1991,1414.702765,5037.183903,1794.518361,1050.918009,2104.659057
1992,1304.618886,2789.875243,913.6826136,720.4230229,2355.78355
1993,989.7776924,1751.200227,727.7058993,891.7712554,1315.932272
1994,845.0564971,2293.272389,863.4509141,710.8276629,2306.229615
1996,993.0670134,1584.089016,1092.518062,548.4852583,1069.340582
1997,557.1790063,973.3812394,573.44312,739.6591519,1790.399927
1998,704.8325818,757.7153712,512.6046723,404.8004647,1297.800092
1999,524.1897604,1001.034729,533.6153295,376.4434087,1382.074393
2000,649.9241026,775.3645935,532.1258327,627.0520195,977.0271681
2001,538.4138632,629.5908846,388.0042016,587.3000052,839.0797864
2002,505.8566155,658.8067317,364.1801269,338.5385789,682.1012147
2003,476.2029635,614.9434067,355.4706847,246.485666,534.3369178
2005,380.6597564,562.5742182,187.8881958,265.9195541,740.9430746
2006,374.0274561,712.569619,468.2047877,323.485739,636.5767787
2007,381.0309848,858.4555137,419.4845859,267.5823685,518.376346
2008,274.3529422,523.3696587,260.4960606,170.1887724,544.3232404
2009,233.2075747,261.7150399,177.4961822,133.3789627,353.373285
2010,236.6747583,511.2754988,212.63997,239.030935,422.2574964
