"n","sd","mean"
100,1805.87057349104,7783.59656750624
200,816.500670574411,8044.64679507416
300,925.593465861586,7993.39333257369
400,1054.27207211285,7698.25381530678
500,956.296052184993,8105.09837593988
600,769.764166741045,7860.31355743769
700,592.803413018792,8038.80689463877
800,672.650143110928,7927.25849988583
900,927.658658359592,8118.98097192416
1000,463.3397170152,8105.43101072015
2000,323.374483098188,8160.7206019916
3000,411.274816742791,8166.20225084686
4000,240.417845372298,8028.37651289687
5000,228.578221551756,8081.10680185201
6000,251.896044343349,8118.15913041445
7000,197.285936159966,8053.21997460455
8000,113.630888657772,8084.18835973522
9000,161.625251898397,8076.61458059138
10000,162.918415242853,8140.05197535071
30000,99.0290022418385,8069.11508836254
50000,65.74119143152,8074.33653801766
70000,59.7205886030958,8088.66127207646
90000,88.8152431689291,8089.2197216949
110000,57.6213102595808,8105.70853413968
130000,55.5951132351352,8093.08722668152
