"block","concentration","area"
"01",4433.52244970265,206903.950864
"04",1436.07127472441,164439.499123
"05",346.639513388033,208552.165394
"06",394.836200403588,345298.732365
"08",48.8164210337744,122890.739128
"09",2332.80284037321,21883.389251
"10",505.947479757192,9824.369862
"11",105.320689969816,269.774338
"12",232.111587766608,230140.350819
"13",598.952783406264,231442.447156
"16",1871.66503277367,154060.932313
"17",2984.07483242535,226033.998832
"18",2431.16055861888,143768.026039
"19",1212.8997042201,217962.025189
"20",401.344059141158,252615.770999
"21",2031.74711133131,151534.7788
"22",4399.9229517578,190065.39115
"23",149.693782952194,89645.061756
"24",466.366192848306,48883.067495
"25",951.164803278073,37757.583388
"26",755.916712429333,260101.249647
"27",1181.10180944523,255140.426646
"28",1394.54009987354,189567.493605
"29",778.533792793172,266456.58423
"30",74.8522848364146,115952.907413
"31",333.860336378006,204975.48125
"32",37.0536000666812,99977.019246
"33",171.446870586263,32735.898276
"34",1732.9941650487,34298.371937
"35",52.3043610595124,136658.564173
"36",846.984714836091,201150.550221
"37",851.422596469566,199484.967352
"38",53.3111800672837,132147.087838
"39",3726.91405544725,176937.045926
"40",567.68617651586,229892.932482
"41",316.709680766575,166039.042644
"42",4201.46837516491,181801.475886
"44",364.923533286018,6098.510562
"45",1326.97651976646,125418.560858
"46",91.4624061073385,115141.655071
"47",1593.17407732548,166366.792934
"48",2552.0434307852,664213.015756
"49",1442.51365891251,111130.716821
"50",32.4236251807404,35342.55848
"51",2923.77577377942,160707.732392
"53",881.433353151409,158258.106086
"54",865.868326305192,87412.443002
"55",1049.28281385923,246248.893885
"56",43.3053224068527,120219.200156
